timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501903666629,647,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,240,0,0
1501903670580,584,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,216,0,0
1501903673931,702,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,244,0,0
1501903677031,609,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,222,0,0
1501903680637,875,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,238,0,0
1501903686668,861,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,273,0,0
1501903690906,1413,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,249,0,0
1501903696965,1046,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,236,0,0
1501903702054,861,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,256,0,0
1501903705714,858,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,203,0,0
1501903710847,1633,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,410,0,0
1501903718795,1465,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,371,0,0
1501903726292,1595,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,414,0,0
1501903731091,552,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,227,0,0
1501903733646,985,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,199,0,0
1501903737980,799,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,246,0,0
1501903741471,1096,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,380,0,0
1501903747105,606,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,212,0,0
1501903750375,626,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,202,0,0
1501903753322,584,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,206,0,0
1501903755908,738,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,205,0,0
1501903760082,1048,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,219,0,0
1501903765469,2518,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,805,0,0
1501903772688,836,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100391,194,1,1,200,0,0
1501903778795,1113,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,361,0,0
1501903784759,1495,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,498,0,0
1501903797155,1432,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,669,0,0
1501903803167,1735,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,287,0,0
1501903809929,2162,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,258,0,0
1501903818741,1297,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,414,0,0
1501903824285,1002,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,242,0,0
1501903829237,916,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100375,194,1,1,282,0,0
1501903836040,1681,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,336,0,0
1501903847070,1007,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,315,0,0
1501903851495,968,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100383,194,1,1,227,0,0
1501903856243,995,DaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,100391,194,1,1,327,0,0
