timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501832784670,697,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,668,0,0
1501832787619,494,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,491,0,0
1501832789464,290,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,286,0,0
1501832791632,652,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,649,0,0
1501832793702,341,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,340,0,0
1501832795368,314,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,312,0,0
1501832796893,334,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,333,0,0
1501832798191,343,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,341,0,0
1501832799493,340,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,339,0,0
1501832800686,295,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,292,0,0
1501832802333,298,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,297,0,0
1501832803477,285,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,283,0,0
1501832804567,293,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,282,0,0
1501832805876,283,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,282,0,0
1501832807036,314,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,312,0,0
1501832808216,323,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,322,0,0
1501832809448,328,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,326,0,0
1501832811147,284,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,283,0,0
1501832812359,365,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,364,0,0
1501832813963,296,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,294,0,0
1501832817043,337,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,335,0,0
1501832818495,606,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,603,0,0
1501832820657,373,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,372,0,0
1501832822287,281,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,279,0,0
1501832824041,390,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,388,0,0
1501832826141,556,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,554,0,0
1501832828115,734,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,732,0,0
1501832830826,292,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,291,0,0
1501832832259,278,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,277,0,0
1501832833722,318,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,316,0,0
1501832835392,344,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,336,0,0
1501832836902,448,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,447,0,0
1501832838712,546,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,544,0,0
1501832840272,302,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,300,0,0
1501832841421,322,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,320,0,1
1501832842642,340,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,338,0,0
1501832843850,315,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,313,0,0
1501832845072,287,DbaaS direto sem Join 1000,200,OK,Grupo de Usuários 1-1,text,true,,38784,0,1,1,285,0,0
