timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501830466791,2116,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1075,0,0
1501830470054,2398,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1133,0,0
1501830473627,4032,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,998,0,0
1501830478850,2726,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,1469,0,0
1501830482850,3619,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1290,0,0
1501830487646,2636,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1114,0,0
1501830491764,3199,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875833,305,1,1,1128,0,0
1501830496600,3296,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1450,0,0
1501830501060,2584,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1131,0,0
1501830505484,3286,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1149,0,0
1501830510220,2944,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875838,305,1,1,1014,0,0
1501830514494,2237,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1145,0,0
1501830518276,2692,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,1027,0,0
1501830522316,4546,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1102,0,0
1501830530166,3891,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1676,0,607
1501830535390,4311,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1132,0,0
1501830541106,3274,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875877,305,1,1,2099,0,0
1501830545603,6102,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875856,305,1,1,3200,0,0
1501830552906,2920,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1157,0,0
1501830557001,2704,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875877,305,1,1,1300,0,0
1501830561284,3554,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875849,305,1,1,1287,0,0
1501830566636,3060,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875835,305,1,1,1291,0,0
1501830571302,3701,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1414,0,0
1501830576191,2409,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1147,0,0
1501830580642,2976,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1433,0,259
1501830584766,2434,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1212,0,0
1501830588505,2896,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1223,0,0
1501830592656,3509,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1830,0,0
1501830598339,5712,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1805,0,336
1501830605379,2679,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1457,0,0
1501830609417,5465,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1489,0,0
1501830616029,3673,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,1050,0,0
1501830620890,2600,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1002,0,0
1501830624658,2708,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1117,0,0
1501830629058,3768,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1018,0,0
1501830634202,2509,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1050,0,0
1501830637869,2270,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875840,305,1,1,1236,0,0
1501830641981,5286,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1583,0,0
1501830648562,3574,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1949,0,0
1501830653929,3140,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875844,305,1,1,1488,0,0
1501830658277,2635,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1282,0,0
1501830662296,2629,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1398,0,0
1501830666707,4943,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875847,305,1,1,1099,0,0
1501830673061,5812,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1708,0,0
1501830680357,6167,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875872,305,1,1,1813,0,0
1501830688165,4015,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875904,305,1,1,1729,0,0
1501830693754,3189,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1399,0,0
1501830698389,5702,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875849,305,1,1,1784,0,0
1501830705251,4535,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1076,0,0
1501830710987,2555,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1400,0,0
1501830715348,3271,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875849,305,1,1,1255,0,0
1501830719929,3387,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1466,0,0
1501830725330,3567,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1519,0,265
1501830730053,2505,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,1268,0,0
1501830733718,2822,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875876,305,1,1,1680,0,0
1501830738330,2600,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1224,0,0
1501830742129,2424,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1123,0,0
1501830745737,2502,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1416,0,0
1501830749406,2475,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875840,305,1,1,1362,0,0
1501830753566,1990,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875840,305,1,1,1161,0,0
1501830757640,3177,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1951,0,266
1501830762513,2320,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875891,305,1,1,1321,0,0
1501830766680,4974,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1768,0,0
1501830773595,3813,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1060,0,0
1501830778788,3380,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875833,305,1,1,1147,0,0
1501830783569,2662,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1096,0,0
1501830787949,3021,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875836,305,1,1,1120,0,0
1501830792102,2595,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1008,0,0
1501830796758,3279,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1317,0,305
1501830801329,2954,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875826,305,1,1,1052,0,0
1501830805643,2077,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1050,0,0
1501830809025,4992,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1050,0,0
1501830815189,2099,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875828,305,1,1,1100,0,0
1501830819036,3652,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875832,305,1,1,1135,0,0
1501830824508,3843,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,1061,0,0
1501830829789,2480,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875834,305,1,1,998,0,0
1501830833611,4386,DbaaS sem Join 5000,200,OK,Grupo de Usuários 1-1,text,true,,875830,305,1,1,1048,0,0
