timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501996757411,4143,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875688,323,1,1,1795,0,667
1501996776121,2817,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1492,0,273
1501996790555,2630,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1475,0,268
1501996803520,4918,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1404,0,262
1501996823383,3367,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1959,0,693
1501996837937,3247,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1652,0,310
1501996853704,3396,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1828,0,615
1501996871829,4253,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1327,0,289
1501996896482,2534,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1365,0,269
1501996911490,3724,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875664,323,1,1,1784,0,312
1501996932694,6094,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1549,0,292
1501996948650,7977,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1484,0,324
1501996973350,6175,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1321,0,267
1501996991573,5919,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1468,0,263
1501997010656,3410,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1380,0,316
1501997027537,5014,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1313,0,268
1501997050400,4274,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1540,0,320
1501997065751,3464,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1398,0,276
1501997084102,5221,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1675,0,582
1501997101848,4959,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1377,0,308
1501997123487,3099,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875666,323,1,1,1563,0,331
1501997139076,4221,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1452,0,313
1501997161057,2627,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1397,0,270
1501997176446,7004,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875702,323,1,1,1554,0,272
1501997198217,3805,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1643,0,360
1501997218096,2878,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875699,323,1,1,1354,0,282
1501997231127,3318,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1396,0,315
1501997244796,5158,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1391,0,273
1501997263560,8819,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1536,0,312
1501997284052,4836,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1420,0,335
1501997302982,4477,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1530,0,280
1501997320875,3487,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1412,0,312
1501997336545,3469,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1336,0,264
1501997356065,3751,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1395,0,315
1501997372774,2827,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1444,0,274
1501997389577,5238,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1611,0,346
1501997405480,3096,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1386,0,319
1501997423907,6762,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1645,0,316
1501997444738,6068,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875686,323,1,1,2081,0,668
1501997461394,3842,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875673,323,1,1,1491,0,305
1501997476099,10147,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1409,0,342
1501997499062,3012,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875694,323,1,1,1622,0,301
1501997521211,3297,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1359,0,269
1501997541007,6769,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875651,323,1,1,1578,0,349
1501997562595,2988,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1446,0,313
1501997581806,3216,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1394,0,267
1501997596198,3541,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1455,0,269
1501997614575,4401,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1493,0,305
1501997638592,6965,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1829,0,734
1501997655646,2998,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875650,323,1,1,1489,0,342
1501997671244,10328,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875655,323,1,1,2222,0,951
1501997697173,4561,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1435,0,314
1501997715947,6860,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1408,0,319
1501997734284,4194,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1831,0,722
1501997751785,4415,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1602,0,311
1501997770812,5993,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1418,0,270
1501997791535,2960,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1467,0,318
1501997804823,3085,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1402,0,319
1501997820698,4613,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,323,1,1,1442,0,269
1501997836679,4650,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,323,1,1,1364,0,308
1501997854506,3056,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875665,323,1,1,1801,0,667
1501997868295,3324,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1373,0,326
1501997886249,2775,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,323,1,1,1289,0,263
1501997899289,3903,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,323,1,1,1318,0,262
1501997919314,3073,SQL DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875690,323,1,1,1389,0,265
