timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501996767961,4130,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,399,1,1,1394,0,266
1501996781927,3842,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875662,399,1,1,1523,0,382
1501996796208,2932,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,399,1,1,1394,0,269
1501996814623,3910,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,399,1,1,1527,0,269
1501996831309,2794,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,399,1,1,1413,0,272
1501996844108,4328,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,399,1,1,1382,0,310
1501996862869,3857,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,399,1,1,1432,0,317
1501996880967,8056,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,399,1,1,1680,0,371
1501996902715,5473,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,399,1,1,1389,0,262
1501996918466,6761,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875693,399,1,1,1687,0,274
1501996941540,3279,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875676,399,1,1,1444,0,311
1501996964229,4567,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,399,1,1,1350,0,270
1501996983345,3760,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,399,1,1,1437,0,370
1501997002528,5013,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,399,1,1,1391,0,326
1501997017723,6678,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875735,399,1,1,1823,0,612
1501997039536,7164,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875651,399,1,1,1488,0,323
1501997059205,3749,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875659,399,1,1,1371,0,325
1501997073696,6074,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,399,1,1,1513,0,313
1501997093273,3433,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,399,1,1,1367,0,262
1501997111613,5131,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,399,1,1,2096,0,707
1501997130912,4916,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875667,399,1,1,1400,0,298
1501997149520,5889,MongoDB DaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,399,1,1,1882,0,814
