timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1501996761555,6406,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1834,0,698
1501996778939,2988,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1380,0,288
1501996793185,3023,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1512,0,280
1501996808439,6184,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1387,0,260
1501996826752,4558,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1444,0,304
1501996841184,2924,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875650,329,1,1,1341,0,307
1501996857101,5765,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1398,0,322
1501996876084,4884,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875708,329,1,1,1446,0,289
1501996899016,3699,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1291,0,268
1501996915214,3251,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875660,329,1,1,1538,0,332
1501996938787,2751,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1330,0,302
1501996956629,7601,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875656,329,1,1,1670,0,614
1501996979525,3820,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,329,1,1,1373,0,296
1501996997492,5037,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875667,329,1,1,1509,0,270
1501997014066,3657,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1364,0,260
1501997032552,6983,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1364,0,296
1501997054674,4523,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1377,0,263
1501997069214,4480,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1462,0,312
1501997089327,3946,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1437,0,308
1501997106808,4801,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875662,329,1,1,2134,0,290
1501997126586,4326,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875672,329,1,1,1422,0,272
1501997143298,6222,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1365,0,331
1501997163684,5200,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1499,0,356
1501997183450,2947,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1297,0,298
1501997202030,9440,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,2060,0,289
1501997220975,3222,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1360,0,270
1501997234445,4778,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875648,329,1,1,1701,0,556
1501997249954,5259,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1613,0,597
1501997272383,4327,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1433,0,280
1501997288889,8302,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1320,0,267
1501997307459,4002,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1388,0,323
1501997324361,2617,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875652,329,1,1,1280,0,268
1501997340014,3762,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875663,329,1,1,1285,0,265
1501997359817,3127,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875646,329,1,1,1344,0,316
1501997375613,5816,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875644,329,1,1,1769,0,692
1501997394815,2722,SQL DbaaS,200,OK,Grupo de Usuários 1-1,text,true,,875656,329,1,1,1418,0,299
