2 DbaaS,2 DaaS,1 DaaS e 1 DbaaS
4002,1373,772
3485,341,667
2765,339,767
4331,578,768
4118,374,699
2468,347,748
3268,418,789
2483,359,676
2653,339,661
2911,562,659
3739,433,741
4177,484,733
2587,310,690
4732,339,1303
3097,389,739
2795,385,760
2992,377,841
3437,803,720
2841,393,765
3374,365,831
2891,372,828
2587,378,744
3775,387,717
2768,340,687
4915,352,691
2633,329,755
7359,384,1115
2323,561,628
2859,343,748
2679,377,747
2648,348,679
2530,329,741
4172,361,704
2675,340,642
2385,316,771
3255,334,864
4349,383,678
2503,304,865
3979,485,732
2530,369,663
2576,316,681
2571,314,943
2772,362,1110
2581,383,669
4286,323,783
3339,371,692
2786,313,726
2633,611,1542
4291,908,665
4703,640,669
2504,344,755
2595,333,646
3391,443,703
3514,325,708
2471,338,638
3017,326,1275
3179,583,658
2582,384,1097
3348,414,785
2806,362,649
3587,851,756
2988,392,735
2852,319,683
3365,322,749
2839,300,683
2675,316,821
3087,359,1756
2756,326,636
2642,318,664
2324,341,664
2680,287,899
3273,381,747
3765,370,1036
3624,489,776
2611,370,746
2625,329,809
2483,355,630
5690,347,679
2765,322,1198
12081,341,699
4444,942,802
2620,323,860
2708,401,662
3917,321,772
2620,374,762
7364,382,1207
2942,365,649
8506,943,824
3718,411,707
4352,358,795
3789,366,888
3297,395,1738
6031,620,990
4199,420,744
2941,350,668
4853,378,792
5382,1348,939
5957,481,786
4898,535,689
5496,382,761
